Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Epson PhotoPC 800,1999,1600.0,640.0,1.0,38.0,38.0,50.0,15.0,8.0,280.0,113.0,229.0
Epson PhotoPC 850 Zoom,1999,1600.0,640.0,1.0,35.0,105.0,0.0,0.0,0.0,0.0,0.0,229.0
Epson PhotoPC L-500V,2004,2560.0,1600.0,4.0,34.0,102.0,50.0,5.0,16.0,200.0,92.0,159.0
Epson PhotoPC 3000 Zoom,2000,2048.0,640.0,3.0,34.0,102.0,50.0,5.0,16.0,360.0,107.0,399.0
Epson PhotoPC 3100 Zoom,2001,2048.0,1600.0,3.0,34.0,102.0,50.0,5.0,16.0,360.0,107.0,399.0
Epson PhotoPC 500,1997,640.0,320.0,0.0,43.0,43.0,60.0,20.0,2.0,320.0,142.0,229.0
Epson PhotoPC 550,1997,640.0,320.0,0.0,43.0,43.0,60.0,10.0,1.0,170.0,107.0,229.0
Epson PhotoPC 600,1997,1024.0,640.0,0.0,36.0,36.0,50.0,20.0,4.0,270.0,143.0,229.0
Epson PhotoPC 650,1999,1152.0,640.0,0.0,39.0,39.0,60.0,15.0,8.0,400.0,135.0,229.0
Epson PhotoPC 700,1998,1280.0,640.0,1.0,35.0,35.0,50.0,10.0,4.0,0.0,0.0,229.0
Epson PhotoPC 750 Zoom,1998,1280.0,640.0,1.0,34.0,102.0,80.0,20.0,8.0,0.0,0.0,229.0
Epson PhotoPC L-300,2003,2048.0,1600.0,3.0,34.0,102.0,50.0,11.0,16.0,285.0,105.0,399.0
Epson PhotoPC L-400,2003,2304.0,1600.0,4.0,34.0,102.0,50.0,11.0,16.0,285.0,105.0,129.0
Epson PhotoPC L-410,2004,2304.0,1600.0,4.0,34.0,102.0,50.0,11.0,16.0,203.0,92.0,129.0
Epson R-D1,2004,3008.0,2240.0,6.0,0.0,0.0,0.0,0.0,0.0,620.0,142.0,4499.0
Canon EOS 10D,2003,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,0.0,875.0,150.0,1299.0
Canon EOS-1D,2001,2464.0,1232.0,4.0,0.0,0.0,0.0,0.0,0.0,1585.0,156.0,4499.0
Canon EOS-1D Mark II,2004,3504.0,3104.0,8.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,4499.0
Canon EOS-1D Mark III,2007,3888.0,3456.0,10.0,0.0,0.0,0.0,0.0,0.0,1335.0,156.0,4499.0
Canon EOS-1D Mark II N,2005,3504.0,3104.0,8.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,4499.0
Canon EOS-1Ds,2002,4064.0,2032.0,11.0,0.0,0.0,0.0,0.0,0.0,1585.0,156.0,7999.0
Canon EOS-1Ds Mark II,2004,4992.0,3600.0,16.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,7999.0
Canon EOS-1Ds Mark III,2007,5616.0,4992.0,21.0,0.0,0.0,0.0,0.0,0.0,1385.0,150.0,7999.0
Canon EOS 20D,2004,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,770.0,144.0,1299.0
Canon EOS 20Da,2005,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,770.0,144.0,1299.0
Canon EOS 300D / Digital Rebel,2003,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,0.0,645.0,142.0,1299.0
Canon EOS 30D,2006,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,784.0,144.0,1299.0
Canon EOS 350D / Digital Rebel XT,2005,3456.0,2496.0,8.0,0.0,0.0,0.0,0.0,0.0,540.0,127.0,1299.0
Canon EOS 400D / Digital Rebel XTi,2006,3888.0,2816.0,10.0,0.0,0.0,0.0,0.0,0.0,556.0,127.0,1299.0
Canon EOS 40D,2007,3888.0,2816.0,10.0,0.0,0.0,0.0,0.0,0.0,822.0,146.0,1299.0
Canon EOS 5D,2005,4368.0,3168.0,12.0,0.0,0.0,0.0,0.0,0.0,895.0,152.0,2499.0
Canon EOS D30,2000,2160.0,1440.0,3.0,0.0,0.0,0.0,0.0,16.0,855.0,150.0,549.0
Canon EOS D60,2002,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,16.0,855.0,150.0,549.0